# @generated by vyges-soc-generator
ref,role,part,manufacturer,mpn,distributor,distributor_sku,description
U1,soc,caravel_qfn64,,,,,Edge Sensor SoC in Caravel QFN-64 package
U2,usb_bridge,ft232h,,,,,USB 2.0 → UART/SPI bridge for firmware load + debug
U3,flash,w25q32jvssiq,,,,,32 Mbit QSPI flash for Caravel XiP boot
U4,ldo,ap7361_18,,,,,1.8 V LDO for VCCD1/VCCD2
U5,ldo,ap7361_33,,,,,3.3 V LDO for VDDA1/VDDA2 and IO
U6,reset_supervisor,mcp809_300,,,,,Power-on reset supervisor
J1,usb_connector,usb_c_receptacle,,,,,USB-C receptacle for host connection
J2,header,pmod_2x6_female,,,,,Pmod header for ADXL355 EVAL-ADXL355-PMDZ
J3,header,tag_connect_10pin,,,,,Tag-Connect programming / JTAG debug header
SW1,button,reset_button_smd,,,,,Manual reset button
D1,led,led_green_0603,,,,,Power indicator LED
