Metric,Value
design__instance__count,56710
design__instance__area,446922
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,8
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1305
design__max_cap_violation__count__corner:nom_tt_025C_1v80,4
power__internal__total,0.008874177932739258
power__switching__total,0.0011756467865779996
power__leakage__total,3.2023748985920975E-7
power__total,0.010050144977867603
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.6689671228536196
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.6629437186854649
timing__hold__ws__corner:nom_tt_025C_1v80,2.556507078393627
timing__setup__ws__corner:nom_tt_025C_1v80,11.664951112993062
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,2.556507
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,11.664951
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,529
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1305
design__max_cap_violation__count__corner:nom_ss_100C_1v60,5
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.9695817756441264
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.9635419401747425
timing__hold__ws__corner:nom_ss_100C_1v60,2.542533811010504
timing__setup__ws__corner:nom_ss_100C_1v60,-1.0273346908400713
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-1.832861025941583
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-1.0273346908400713
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,3.291809
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-1.027335
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,6
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1305
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,3
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.5354192796228883
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.5294091981314057
timing__hold__ws__corner:nom_ff_n40C_1v95,2.0351374495001164
timing__setup__ws__corner:nom_ff_n40C_1v95,15.683522480185017
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,2.035137
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,15.683522
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,656
design__max_fanout_violation__count,1305
design__max_cap_violation__count,11
clock__skew__worst_hold,-0.5294612675927334
clock__skew__worst_setup,0.5248299721145275
timing__hold__ws,2.0280711017931323
timing__setup__ws,-1.460335893544708
timing__hold__tns,0.0
timing__setup__tns,-4.319414281842779
timing__hold__wns,0
timing__setup__wns,-1.460335893544708
