Metric,Value
design__instance__count,28320
design__instance__area,43489.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,16
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00038499137735925615
power__switching__total,0.0002001023676712066
power__leakage__total,1.9189609901104632E-8
power__total,0.0005851129535585642
clock__skew__worst_hold__corner:nom_tt_025C_1v80,4.007581047115757
clock__skew__worst_setup__corner:nom_tt_025C_1v80,4.507650380545606
timing__hold__ws__corner:nom_tt_025C_1v80,3.223044811156054
timing__setup__ws__corner:nom_tt_025C_1v80,8.420496538380023
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,3.223045
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.420497
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,4
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,16
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,8.01459721274061
clock__skew__worst_setup__corner:nom_ss_100C_1v60,8.514732271375374
timing__hold__ws__corner:nom_ss_100C_1v60,2.524505564937557
timing__setup__ws__corner:nom_ss_100C_1v60,1.71476171449082
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,6.693330
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.714762
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,16
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,2.669292418209035
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,3.169335106285539
timing__hold__ws__corner:nom_ff_n40C_1v95,2.057467143781324
timing__setup__ws__corner:nom_ff_n40C_1v95,9.668760288298282
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,2.057467
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,9.668760
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,4
design__max_fanout_violation__count,16
design__max_cap_violation__count,0
clock__skew__worst_hold,8.064140694571087
clock__skew__worst_setup,3.148058791639887
timing__hold__ws,2.0535973502972458
timing__setup__ws,1.5454820083357768
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,2.053597
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.545482
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1400.0 1400.0
design__core__bbox,5.52 10.88 1394.26 1387.2
design__io,248
design__die__area,1.96E+6
design__core__area,1.91135E+6
design__instance__count__stdcell,28320
design__instance__area__stdcell,43489.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.0227531
design__instance__utilization__stdcell,0.0227531
design__instance__count__class:buffer,31
design__instance__count__class:inverter,13
design__instance__count__class:sequential_cell,57
design__instance__count__class:multi_input_combinational_cell,364
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,191926
design__instance__count__class:tap_cell,27178
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,246
design__io__hpwl,78958278
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,35.1
design__instance__displacement__mean,0.001
design__instance__displacement__max,5.94
route__wirelength__estimated,47122.6
design__violations,0
design__instance__count__class:timing_repair_buffer,466
design__instance__count__class:clock_buffer,11
design__instance__count__class:clock_inverter,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,6
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,199
antenna_diodes_count,0
route__net,1074
route__net__special,2
route__drc_errors__iter:1,123
route__wirelength__iter:1,47292
route__drc_errors__iter:2,13
route__wirelength__iter:2,47176
route__drc_errors__iter:3,3
route__wirelength__iter:3,47162
route__drc_errors__iter:4,0
route__wirelength__iter:4,47165
route__drc_errors,0
route__wirelength,47165
route__vias,5068
route__vias__singlecut,5068
route__vias__multicut,0
design__disconnected_pin__count,118
design__critical_disconnected_pin__count,0
route__wirelength__max,1325.15
timing__unannotated_net__count__corner:nom_tt_025C_1v80,194
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,194
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,194
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,16
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,3.976143082882925
clock__skew__worst_setup__corner:min_tt_025C_1v80,4.476239061666118
timing__hold__ws__corner:min_tt_025C_1v80,3.2066608054290797
timing__setup__ws__corner:min_tt_025C_1v80,8.434840620263858
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,3.206661
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,8.434840
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,194
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,2
design__max_fanout_violation__count__corner:min_ss_100C_1v60,16
design__max_cap_violation__count__corner:min_ss_100C_1v60,0
clock__skew__worst_hold__corner:min_ss_100C_1v60,7.972171592966914
clock__skew__worst_setup__corner:min_ss_100C_1v60,8.472709884615629
timing__hold__ws__corner:min_ss_100C_1v60,2.581951836525428
timing__setup__ws__corner:min_ss_100C_1v60,1.8647928173897346
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,6.601528
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,1.864793
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,194
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,16
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,2.6480338671322796
clock__skew__worst_setup__corner:min_ff_n40C_1v95,3.148058791639887
timing__hold__ws__corner:min_ff_n40C_1v95,2.0535973502972458
timing__setup__ws__corner:min_ff_n40C_1v95,9.679920250457439
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,2.053597
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,9.679920
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,194
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,0
design__max_fanout_violation__count__corner:max_tt_025C_1v80,16
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,4.043132165726548
clock__skew__worst_setup__corner:max_tt_025C_1v80,4.543203275513287
timing__hold__ws__corner:max_tt_025C_1v80,3.2432855097350464
timing__setup__ws__corner:max_tt_025C_1v80,8.406631184677945
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,3.243285
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,8.406631
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,194
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,4
design__max_fanout_violation__count__corner:max_ss_100C_1v60,16
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,8.064140694571087
clock__skew__worst_setup__corner:max_ss_100C_1v60,8.564279305919632
timing__hold__ws__corner:max_ss_100C_1v60,2.4669014196311196
timing__setup__ws__corner:max_ss_100C_1v60,1.5454820083357768
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,6.786930
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,1.545482
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,194
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,16
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,2.6965825891045596
clock__skew__worst_setup__corner:max_ff_n40C_1v95,3.196614619039726
timing__hold__ws__corner:max_ff_n40C_1v95,2.062143403293299
timing__setup__ws__corner:max_ff_n40C_1v95,9.658234485548727
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,2.062143
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,9.658235
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,194
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,194
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79976
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.8
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000237085
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000156728
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,7.04253E-7
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000156728
design_powergrid__voltage__worst,0.000156728
design_powergrid__voltage__worst__net:VPWR,1.79976
design_powergrid__drop__worst,0.000237085
design_powergrid__drop__worst__net:VPWR,0.000237085
design_powergrid__voltage__worst__net:VGND,0.000156728
design_powergrid__drop__worst__net:VGND,0.000156728
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,6.63000000000000047289754577517495448546469560824334621429443359375E-7
ir__drop__worst,0.00023699999999999998736947837141286754558677785098552703857421875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
