Metric,Value
design__instance__count,6705
design__instance__area,40680.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,182
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00036350893788039684
power__switching__total,0.0001612254127394408
power__leakage__total,5.2758462487645374E-8
power__total,0.0005247871158644557
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.46468755159067765
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3015486556919637
timing__hold__ws__corner:nom_tt_025C_1v80,2.9284215881096887
timing__setup__ws__corner:nom_tt_025C_1v80,10.60403350697592
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,2.928421
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,46
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,182
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.639066928575687
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.34078837938409046
timing__hold__ws__corner:nom_ss_100C_1v60,5.8943518401225505
timing__setup__ws__corner:nom_ss_100C_1v60,-5.86906184708476
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-35.54793893195876
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-5.86906184708476
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,5.894352
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,30
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,182
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3938851301053746
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2860649853522721
timing__hold__ws__corner:nom_ff_n40C_1v95,1.839390913867896
timing__setup__ws__corner:nom_ff_n40C_1v95,17.887183795983635
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,1.839391
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,74
design__max_fanout_violation__count,182
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.388745519000968
clock__skew__worst_setup,0.2843358684536669
timing__hold__ws,1.8062867268725826
timing__setup__ws,-6.396554578176856
timing__hold__tns,0.0
timing__setup__tns,-52.04758726880576
timing__hold__wns,0
timing__setup__wns,-6.396554578176856
timing__hold_vio__count,0
timing__hold_r2r__ws,1.806287
timing__hold_r2r_vio__count,0
timing__setup_vio__count,92
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 400.0 400.0
design__core__bbox,5.52 10.88 394.22 388.96
design__io,213
design__die__area,160000
design__core__area,146960
design__instance__count__stdcell,6705
design__instance__area__stdcell,40680.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.276812
design__instance__utilization__stdcell,0.276812
design__instance__count__class:buffer,5
design__instance__count__class:inverter,103
design__instance__count__class:sequential_cell,208
design__instance__count__class:multi_input_combinational_cell,1462
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,15521
design__instance__count__class:tap_cell,2115
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,211
design__io__hpwl,22672447
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,297.22
design__instance__displacement__mean,0.042
design__instance__displacement__max,13.26
route__wirelength__estimated,113772
design__violations,0
design__instance__count__class:timing_repair_buffer,1549
design__instance__count__class:clock_buffer,52
design__instance__count__class:clock_inverter,24
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
design__instance__count__class:antenna_cell,1187
antenna_diodes_count,6
route__net,3513
route__net__special,2
route__drc_errors__iter:1,1113
route__wirelength__iter:1,123046
route__drc_errors__iter:2,394
route__wirelength__iter:2,122049
route__drc_errors__iter:3,447
route__wirelength__iter:3,122040
route__drc_errors__iter:4,3
route__wirelength__iter:4,121960
route__drc_errors__iter:5,0
route__wirelength__iter:5,121963
route__drc_errors,0
route__wirelength,121963
route__vias,24883
route__vias__singlecut,24883
route__vias__multicut,0
design__disconnected_pin__count,53
design__critical_disconnected_pin__count,0
route__wirelength__max,644.6
timing__unannotated_net__count__corner:nom_tt_025C_1v80,95
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,95
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,95
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,182
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.4567374663310981
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.29746603244804515
timing__hold__ws__corner:min_tt_025C_1v80,2.8928595893129483
timing__setup__ws__corner:min_tt_025C_1v80,10.860162854179196
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,2.892860
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,95
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,30
design__max_fanout_violation__count__corner:min_ss_100C_1v60,182
design__max_cap_violation__count__corner:min_ss_100C_1v60,0
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.6251850325500746
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.33441236837334226
timing__hold__ws__corner:min_ss_100C_1v60,5.835164072649
