Metric,Value
design__instance__count,13935
design__instance__area,91356.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,195
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,485
design__max_cap_violation__count__corner:nom_tt_025C_1v80,17
power__internal__total,0.0019697207026183605
power__switching__total,0.0010014912113547325
power__leakage__total,1.4847336160528357E-7
power__total,0.002971360459923744
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.46472424446267924
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.41913559920237137
timing__hold__ws__corner:nom_tt_025C_1v80,3.15409840506466
timing__setup__ws__corner:nom_tt_025C_1v80,10.351790828647175
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,3.154099
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,10.351790
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1048
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,485
design__max_cap_violation__count__corner:nom_ss_100C_1v60,38
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.6383019848900863
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.5640789106580192
timing__hold__ws__corner:nom_ss_100C_1v60,2.939683468745389
timing__setup__ws__corner:nom_ss_100C_1v60,-3.0165879537023663
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-23.793536703252588
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-3.0165879537023663
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,6.388889
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,29
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-3.016588
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,29
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,77
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,485
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,11
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3910193668420116
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.3605072731267512
timing__hold__ws__corner:nom_ff_n40C_1v95,2.051999517275015
timing__setup__ws__corner:nom_ff_n40C_1v95,14.274659192052935
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,2.052000
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,15.145453
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1436
design__max_fanout_violation__count,485
design__max_cap_violation__count,46
clock__skew__worst_hold,-0.38827306357947683
clock__skew__worst_setup,0.35847217875390563
timing__hold__ws,2.0436819481838917
timing__setup__ws,-3.8527866432172755
timing__hold__tns,0.0
timing__setup__tns,-49.2047092553412
timing__hold__wns,0
timing__setup__wns,-3.8527866432172755
timing__hold_vio__count,0
timing__hold_r2r__ws,2.043682
timing__hold_r2r_vio__count,0
timing__setup_vio__count,74
timing__setup_r2r__ws,-3.852787
timing__setup_r2r_vio__count,74
design__die__bbox,0.0 0.0 500.0 500.0
design__core__bbox,5.52 10.88 494.04 486.88
design__io,187
design__die__area,250000
design__core__area,232536
design__instance__count__stdcell,13935
design__instance__area__stdcell,91356.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.392871
design__instance__utilization__stdcell,0.392871
design__instance__count__class:buffer,5
design__instance__count__class:inverter,66
design__instance__count__class:sequential_cell,698
design__instance__count__class:multi_input_combinational_cell,1823
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,24988
design__instance__count__class:tap_cell,3274
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,185
design__io__hpwl,21936767
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,300922
design__violations,0
design__instance__count__class:timing_repair_buffer,5025
design__instance__count__class:clock_buffer,109
design__instance__count__class:clock_inverter,63
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,19
antenna__violating__pins,21
route__antenna_violation__count,19
design__instance__count__class:antenna_cell,2872
antenna_diodes_count,78
route__net,7821
route__net__special,2
route__drc_errors__iter:1,3850
route__wirelength__iter:1,371479
route__drc_errors__iter:2,1925
route__wirelength__iter:2,368548
route__drc_errors__iter:3,1629
route__wirelength__iter:3,368097
route__drc_errors__iter:4,159
route__wirelength__iter:4,367756
route__drc_errors__iter:5,4
route__wirelength__iter:5,367777
route__drc_errors__iter:6,0
route__wirelength__iter:6,367778
route__drc_errors,0
route__wirelength,367778
route__vias,57111
route__vias__singlecut,57111
route__vias__multicut,0
design__disconnected_pin__count,57
design__critical_disconnected_pin__count,0
route__wirelength__max,1549.9
timing__unannotated_net__count__corner:nom_tt_025C_1v80,146
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,146
