Metric,Value
design__instance__count,25303
design__instance__area,156667
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,2093
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,908
design__max_cap_violation__count__corner:nom_tt_025C_1v80,183
power__internal__total,0.003652757965028286
power__switching__total,0.00195776647888124
power__leakage__total,2.4090115857688943E-7
power__total,0.005610765423625708
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.8784526688041421
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.7714277213149171
timing__hold__ws__corner:nom_tt_025C_1v80,3.033851922223546
timing__setup__ws__corner:nom_tt_025C_1v80,6.186720644231353
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,3.033852
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.186721
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,4932
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,908
design__max_cap_violation__count__corner:nom_ss_100C_1v60,277
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-1.4238035597970025
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.2167474039376724
timing__hold__ws__corner:nom_ss_100C_1v60,2.0975317632040773
timing__setup__ws__corner:nom_ss_100C_1v60,-10.485218323698632
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-3235.172790120436
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-10.485218323698632
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,6.170874
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,660
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-10.485218
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,660
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,1002
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,908
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,168
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.6533462844553563
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.585757903206091
timing__hold__ws__corner:nom_ff_n40C_1v95,1.9363604601164024
timing__setup__ws__corner:nom_ff_n40C_1v95,12.610231438208482
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,1.936360
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.610231
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,5490
design__max_fanout_violation__count,908
design__max_cap_violation__count,331
clock__skew__worst_hold,-0.6350857797190892
clock__skew__worst_setup,0.562747753213846
timing__hold__ws,1.9233761794315858
timing__setup__ws,-12.411657830586401
timing__hold__tns,0.0
timing__setup__tns,-4252.775517894075
timing__hold__wns,0
timing__setup__wns,-12.411657830586401
timing__hold_vio__count,0
timing__hold_r2r__ws,1.923376
timing__hold_r2r_vio__count,0
timing__setup_vio__count,2013
timing__setup_r2r__ws,-12.411658
timing__setup_r2r_vio__count,2013
design__die__bbox,0.0 0.0 700.0 700.0
design__core__bbox,5.52 10.88 694.14 688.16
design__io,259
design__die__area,490000
design__core__area,466389
design__instance__count__stdcell,25303
design__instance__area__stdcell,156667
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.335914
design__instance__utilization__stdcell,0.335914
design__instance__count__class:buffer,11
design__instance__count__class:inverter,65
design__instance__count__class:sequential_cell,1090
design__instance__count__class:multi_input_combinational_cell,3448
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,49588
design__instance__count__class:tap_cell,6651
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,257
design__io__hpwl,55607213
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,6827.98
design__instance__displacement__mean,0.264
design__instance__displacement__max,46.44
route__wirelength__estimated,639510
design__violations,0
design__instance__count__class:timing_repair_buffer,8184
design__instance__count__class:clock_buffer,216
design__instance__count__class:clock_inverter,116
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,33
antenna__violating__pins,36
route__antenna_violation__count,33
design__instance__count__class:antenna_cell,5522
antenna_diodes_count,165
route__net,13108
route__net__special,2
route__drc_errors__iter:1,12977
route__wirelength__iter:1,906935
route__drc_errors__iter:2,7179
route__wirelength__iter:2,897670
route__drc_errors__iter:3,6741
