Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,44
design__inferred_latch__count,0
design__instance__count,11
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,622
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,568
design__max_cap_violation__count__corner:nom_tt_025C_1v80,223
power__internal__total,0.010454230941832066
power__switching__total,0.002600940177217126
power__leakage__total,7.973195010890777E-7
power__total,0.013055968098342419
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-5.193151833327986
clock__skew__worst_setup__corner:nom_tt_025C_1v80,3.181248243765903
timing__hold__ws__corner:nom_tt_025C_1v80,-2.6523086699871956
timing__setup__ws__corner:nom_tt_025C_1v80,1.0394601029687476
timing__hold__tns__corner:nom_tt_025C_1v80,-214.00651101413436
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,-2.6523086699871956
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,88
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,-2.652309
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,88
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.360717
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,886
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,568
design__max_cap_violation__count__corner:nom_ss_100C_1v60,328
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-7.180458209039236
clock__skew__worst_setup__corner:nom_ss_100C_1v60,5.013178458697316
timing__hold__ws__corner:nom_ss_100C_1v60,-3.4692463217477485
timing__setup__ws__corner:nom_ss_100C_1v60,-24.36736037474025
timing__hold__tns__corner:nom_ss_100C_1v60,-279.7261879081388
timing__setup__tns__corner:nom_ss_100C_1v60,-48.169562146900496
timing__hold__wns__corner:nom_ss_100C_1v60,-3.4692463217477485
timing__setup__wns__corner:nom_ss_100C_1v60,-24.36736037474025
timing__hold_vio__count__corner:nom_ss_100C_1v60,101
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,-3.469246
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,88
timing__setup_vio__count__corner:nom_ss_100C_1v60,29
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-2.055813
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,28
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,335
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,568
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,121
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-4.367761387308086
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,2.5141418547541807
timing__hold__ws__corner:nom_ff_n40C_1v95,-2.325581570918995
timing__setup__ws__corner:nom_ff_n40C_1v95,12.412013101964328
timing__hold__tns__corner:nom_ff_n40C_1v95,-188.44604277089914
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,-2.325581570918995
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,88
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,-2.325582
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,88
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.412013
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,511
design__max_fanout_violation__count__corner:min_tt_025C_1v80,568
design__max_cap_violation__count__corner:min_tt_025C_1v80,192
clock__skew__worst_hold__corner:min_tt_025C_1v80,-5.112833856562956
clock__skew__worst_setup__corner:min_tt_025C_1v80,3.1025112246326523
timing__hold__ws__corner:min_tt_025C_1v80,-2.6009986012299717
timing__setup__ws__corner:min_tt_025C_1v80,2.9827376968134045
timing__hold__tns__corner:min_tt_025C_1v80,-209.92955878958597
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,-2.6009986012299717
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,88
timing__hold_r2r__ws__corner:min_tt_025C_1v80,-2.600999
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,88
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,9.666477
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,834
design__max_fanout_violation__count__corner:min_ss_100C_1v60,568
design__max_cap_violation__count__corner:min_ss_100C_1v60,313
clock__skew__worst_hold__corner:min_ss_100C_1v60,-7.052739925031078
clock__skew__worst_setup__corner:min_ss_100C_1v60,4.890611609669111
timing__hold__ws__corner:min_ss_100C_1v60,-3.403641909099599
timing__setup__ws__corner:min_ss_100C_1v60,-21.147315608326185
timing__hold__tns__corner:min_ss_100C_1v60,-271.23247349148164
timing__setup__tns__corner:min_ss_100C_1v60,-22.94241661586471
timing__hold__wns__corner:min_ss_100C_1v60,-3.403641909099599
timing__setup__wns__corner:min_ss_100C_1v60,-21.147315608326185
timing__hold_vio__count__corner:min_ss_100C_1v60,88
timing__hold_r2r__ws__corner:min_ss_100C_1v60,-3.403642
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,88
timing__setup_vio__count__corner:min_ss_100C_1v60,8
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-0.885194
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,7
design__max_slew_violation__count__corner:min_ff_n40C_1v95,246
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,568
design__max_cap_violation__count__corner:min_ff_n40C_1v95,92
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-4.307716083546062
clock__skew__worst_setup__corner:min_ff_n40C_1v95,2.3587541476545595
timing__hold__ws__corner:min_ff_n40C_1v95,-2.2847919758406583
timing__setup__ws__corner:min_ff_n40C_1v95,12.503928912861811
timing__hold__tns__corner:min_ff_n40C_1v95,-185.2583632270143
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,-2.2847919758406583
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,88
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,-2.284792
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,88
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,12.503929
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,683
