Metric,Value
design__instance__count,30566
design__instance__area,175767
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,481
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,898
design__max_cap_violation__count__corner:nom_tt_025C_1v80,35
power__internal__total,0.006568507757037878
power__switching__total,0.006002465728670359
power__leakage__total,2.3565908691125514E-7
power__total,0.012571209110319614
clock__skew__worst_hold__corner:nom_tt_025C_1v80,5.2690293619581405
clock__skew__worst_setup__corner:nom_tt_025C_1v80,5.7690294174692935
timing__hold__ws__corner:nom_tt_025C_1v80,3.140412463408436
timing__setup__ws__corner:nom_tt_025C_1v80,9.397215716006718
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,3.140413
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.397216
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2176
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,898
design__max_cap_violation__count__corner:nom_ss_100C_1v60,75
clock__skew__worst_hold__corner:nom_ss_100C_1v60,5.699390010146328
clock__skew__worst_setup__corner:nom_ss_100C_1v60,6.199390065657481
timing__hold__ws__corner:nom_ss_100C_1v60,2.7418503799016762
timing__setup__ws__corner:nom_ss_100C_1v60,-4.279215325430248
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-777.7506645517658
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-4.279215325430248
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,6.410753
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,402
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-4.279215
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,402
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,247
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,898
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,20
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,5.084498743727101
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,5.584498799238253
timing__hold__ws__corner:nom_ff_n40C_1v95,2.0601811950640814
timing__setup__ws__corner:nom_ff_n40C_1v95,14.29090308763024
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,2.060181
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.636684
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2862
design__max_fanout_violation__count,898
design__max_cap_violation__count,101
clock__skew__worst_hold,5.718279345221528
clock__skew__worst_setup,5.5844397353716735
timing__hold__ws,2.0468864960128004
timing__setup__ws,-5.700467814689117
timing__hold__tns,0.0
timing__setup__tns,-1288.6528475722587
timing__hold__wns,0
timing__setup__wns,-5.700467814689117
timing__hold_vio__count,0
timing__hold_r2r__ws,2.046886
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1140
timing__setup_r2r__ws,-5.700468
timing__setup_r2r_vio__count,1140
design__die__bbox,0.0 0.0 1300.0 600.0
design__core__bbox,5.52 10.88 1294.44 587.52
design__io,400
design__die__area,780000
design__core__area,743243
design__instance__count__stdcell,30566
design__instance__area__stdcell,175767
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.236487
design__instance__utilization__stdcell,0.236487
design__instance__count__class:buffer,4
design__instance__count__class:inverter,40
design__instance__count__class:sequential_cell,1242
design__instance__count__class:multi_input_combinational_cell,4506
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,77006
design__instance__count__class:tap_cell,10593
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,398
design__io__hpwl,67236198
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,19.16
design__instance__displacement__mean,0
design__instance__displacement__max,7.74
route__wirelength__estimated,604163
design__violations,0
design__instance__count__class:timing_repair_buffer,8200
design__instance__count__class:clock_buffer,261
design__instance__count__class:clock_inverter,107
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,32
antenna__violating__pins,34
route__antenna_violation__count,32
design__instance__count__class:antenna_cell,5613
antenna_diodes_count,156
route__net,14408
route__net__special,2
route__drc_errors__iter:1,9280
route__wirelength__iter:1,743115
route__drc_errors__iter:2,4726
route__wirelength__iter:2,738399
route__drc_errors__iter:3,4734
route__wirelength__iter:3,737229
route__drc_errors__iter:4,656
route__wirelength__iter:4,737000
route__drc_errors__iter:5,29
route__wirelength__iter:5,736965
route__drc_errors__iter:6,18
route__wirelength__iter:6,736948
route__drc_errors__iter:7,3
route__wirelength__iter:7,736986
route__drc_errors__iter:8,0
route__wirelength__iter:8,736987
route__drc_errors,0
route__wirelength,736987
route__vias,117418
route__vias__singlecut,117418
route__vias__multicut,0
design__disconnected_pin__count,79
design__critical_disconnected_pin__count,0
route__wirelength__max,1399.15
timing__unannotated_net__count__corner:nom_tt_025C_1v80,282
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,282
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,282
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,392
design__max_fanout_violation__count__corner:min_tt_025C_1v80,898
design__max_cap_violation__count__corner:min_tt_025C_1v80,19
clock__skew__worst_hold__corner:min_tt_025C_1v80,5.26483849196626
clock__skew__worst_setup__corner:min_tt_025C_1v80,5.764838547477412
timing__hold__ws__corner:min_tt_025C_1v80,3.121738955695328
timing__setup__ws__corner:min_tt_025C_1v80,10.307747835925463
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,3.121739
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,10.307748
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,282
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,1452
design__max_fanout_violation__count__corner:min_ss_100C_1v60,898
design__max_cap_violation__count__corner:min_ss_100C_1v60,51
clock__skew__worst_hold__corner:min_ss_100C_1v60,5.691917320800839
clock__skew__worst_setup__corner:min_ss_100C_1v60,6.191917376311992
timing__hold__ws__corner:min_ss_100C_1v60,2.885189058218876
timing__setup__ws__corner:min_ss_100C_1v60,-2.626578140440774
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-280.04678479958085
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-2.626578140440774
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,6.375070
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,287
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-2.626578
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,287
timing__unannotated_net__count__corner:min_ss_100C_1v60,282
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,196
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,898
